2,2,no,What country does LEGO originate from? ,Denmark,Norway,United States,Poland,1,lego,2023-02-05 10:51:51
3,2,no,Who is the largest wheel manufacturer in the world?,Firestone,Bridgestone,LEGO,"",3,lego,2023-02-05 10:52:02
4,2,no,Who founded LEGO?,Michael Laudrup,Ole Kirk Christiansen,Nikolaj Coster-Waldau,Nicklas Bendtner,2,lego,2023-02-05 10:52:09
5,2,no,The plural for LEGO is,LEGOS,LEGO,LEGI,"",2,lego,2023-02-05 10:52:19
6,2,no,The LEGO Star Wars Ultimate Millennium Falcon 75192 is in the top 5 of all time when it comes to popularity? ,True,False,"","",1,lego,2023-02-05 10:52:27
12,2,no," Which ""Lego"" toy for children under the age of five was invented in 1967?",Duplo,Toddler Bricks,"","",1,lego,2023-02-05 10:52:35
109,1,no,"In optics is a hole or an opening through which light travels. More specifically, the [blank] and focal length of an optical system determine the cone angle of a bundle of rays that come to a focus in the image plane. An optical system typically has many openings or structures that limit the ray bundles",Bokeh,Aperture,IBIS,Focal Length,2,photography,2022-02-13 22:56:53
110,1,no,"[Blank] is the length of time when the film or digital sensor inside the camera is exposed to light, also when a camera's shutter is open when taking a photograph. The amount of light that reaches the film or image sensor is proportional to the [Blank].",Shutter Speed or Exposure Time,ISO,"","",1,photography,2021-03-09 10:39:46
111,1,no,In Digital Photography [blank] measures the sensitivity of the image sensor. The same principles apply as in film photography – the lower the number the less sensitive your camera is to light and the finer the grain.,IBIS,Shutter Speed or Exposure Time,ISO,"",3,photography,2021-02-26 20:51:57
112,1,no,"The [blank], which is also known as the [blank], is the ratio of the lens focal length to the diameter of the entrance pupil. In simple terms, [blank] is the number that your camera shows you when you change the size of the lens aperture.",ISO or Shutter Speed,Aperture or ISO,Shutter Speed or Aperture,f-stop or f-number,4,photography,2020-09-27 13:05:27
113,1,no,"[blank] was a landscape photographer and environmentalist known for his black-and-white images of the American West. He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph. ",Robert Capa,Ansel Adams,Steve McCurry,David Bailey,2,photography,2020-09-27 13:05:27
114,1,no,"[Blank] was one of the earliest photographers in American history, best known for his scenes of the Civil War. He studied under inventor Samuel F. B. Morse, who pioneered the daguerreotype technique in America. [Blank] opened his own studio in New York in 1844, and photographed Andrew Jackson, John Quincy Adams, and Abraham Lincoln, among other public figures.",Robert Capa,Steve McCurry,Ansel Adams,Matthew Brady,4,photography,2020-09-27 13:05:27
115,1,no,"The [Blank] is a method of estimating correct daylight exposures without a light meter. ... As the rule is based on incident light, rather than reflected light as with most camera light meters, very bright or very dark subjects are compensated for.",Sunny 8 Rule,Sunny 16 Rule,Cloudy 11 Rule,Rule of 3rds,2,photography,2021-02-27 06:49:54
116,1,no,"An English transliteration of a Japanese word that means ""haze"" or ""blur."" [Blank] refers to the out-of-focus areas in a photograph with limited depth of field, particularly around, but not limited to, the highlight areas. [Blank] appears as little circles in the unsharp areas. Depending upon the shape of the opening formed by the blades of the lens's aperture, the circles appear either more or less circular.",Bracketing,Chromatic Aberration,Color Depth,Bokeh,4,photography,2020-09-27 13:05:27
117,1,no,A [Blank] camera is one that utilizes a mirror system to reflect the light (or latent image) coming through the lens to a visible screen. The image seen in the camera's viewfinder is identical to what strikes the camera's imaging sensor (or film plane). This system provides the most accurate way to frame and focus. The [Blank] system avoids the parallax problem that plagues most direct view cameras.,shutter,reflex,flux,flash,2,photography,2020-09-27 13:05:27
